rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014
0.239707,0.227717,0.334624,0.401386,0.390179,0.361604,0.331297,0.271563,0.387989,0.498426,0.419219,0.436692,0.404593,0.529998,0.468351,0.940481,0.637712,6.37745
0.320602,0.237008,0.319948,0.380456,0.441295,0.283713,0.368764,0.308886,0.228506,0.229029,0.218897,0.358024,0.340799,0.652567,0.417079,1.11049,0.225152,4.08858
0.218191,0.167083,0.246886,0.301276,0.202815,0.246629,0.273198,0.232007,0.181373,0.319129,0.133315,0.201175,0.236007,0.271872,0.261909,1.75902,0.147986,2.09287
0.218776,0.178402,0.335732,0.368584,0.327398,0.29431,0.28241,0.202263,0.191578,0.278176,0.20229,0.269976,0.299967,0.26658,0.464704,1.08542,0.50784,4.69641
0.173258,0.140462,0.231435,0.272506,0.199276,0.187017,0.222283,0.212014,0.170352,0.194308,0.157516,0.19367,0.222908,0.228592,0.363289,0.872315,0.350864,2.85355
0.43879,0.434619,0.614514,0.648184,0.724816,0.698462,0.706447,0.542572,0.328161,0.485823,0.541805,0.550883,0.659851,0.919674,0.672998,4.05165,0.752838,3.89931
0.147083,0.166582,0.250558,0.25416,0.195789,0.206983,0.222626,0.160553,0.159106,0.129,0.191477,0.226314,0.201909,0.254728,0.207644,0.572525,0.194574,1.34152
0.232123,0.244184,0.355131,0.487151,0.514688,0.410532,0.392959,0.276662,0.313527,0.409913,0.267295,0.418327,0.509005,0.54814,0.692346,2.26925,0.297146,4.78916
0.190044,0.154615,0.270113,0.30181,0.28701,0.276539,0.376478,0.255634,0.193102,0.301768,0.181423,0.306251,0.336321,0.286327,0.402743,1.90753,0.395881,1.89129
0.772052,0.96302,1.79078,1.77637,1.76042,1.57101,1.64104,1.43951,0.781884,1.47646,1.2916,2.78811,2.04779,1.45424,1.83977,5.19803,1.77236,12.2119
