sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015
228.677,219.85,211.542,202.828,195.34,188.494,182.544,184.457,192.773,202.749,203.934,213.043,217.687,218.036,216.578,216.19,214.875,218.53,230.626,260.547
197.87,191.042,185.55,180.022,178.081,182.499,188.922,202.737,219.52,236.072,240.128,248.186,248.794,244.655,241.428,244.929,256.532,280.309,309.455,341.1
130.833,126.055,122.62,118.406,113.727,110.132,104.4,104.679,108.304,112.535,110.071,117.977,123.776,127.586,130.782,132.938,131.615,133.262,137.497,147.602
230.046,214.085,199.888,187.207,178.744,174.577,172.577,178.647,188.905,201.004,204.899,217.266,223.815,224.622,223.132,222.108,219.606,223.451,234.527,255.347
228.192,219.629,214.495,210.777,207.641,206.7,207.371,218.555,237.465,259.104,273.46,295.858,311.435,319.474,322.884,323.458,321.434,329.126,356.024,415.232
163.156,157.689,154.65,152.053,149.718,148.338,147.506,155.126,168.609,184.352,191.959,206.817,214.628,215.862,214.166,213.227,210.88,212.177,217.854,233.654
145.907,143.283,139.09,132.633,125.688,120.765,116.189,118.835,125.809,132.97,133.051,140.753,146.575,150.371,152.647,153.017,147.399,141.925,138.141,139.873
181.326,178.057,176.515,176.161,177.925,180.923,183.757,194.104,209.736,223.709,225.145,233.211,234.807,235.376,238.847,245.328,249.757,256.398,269.554,299.556
248.712,242.436,234.393,227.948,224.738,226.916,234.696,258.139,289.893,318.856,330.864,343.775,347.247,346.203,346.703,354.182,370.42,406.581,461.138,533.014
207.873,199.855,192.341,185.713,180.993,179.67,179.34,186.51,198.437,211.825,216.923,229.489,238.22,247.419,261.066,277.569,289.871,301.831,316.073,346.112
215.285,207.903,198.299,188.029,179.356,174.927,173.904,180.925,191.845,203.843,205.967,215.966,220.851,220.307,216.979,214.3,212.839,220.913,239.724,274.09
172.451,169.379,165.095,159.21,154.411,152.034,150.765,156.646,165.115,173.357,170.707,181.328,189.073,194.635,199.235,202.627,200.581,201.596,211.913,243.878
179.464,175.656,171.907,167.857,164.84,164.884,167.793,179.798,197.948,216.476,223.14,236.146,241.595,241.946,241.672,242.22,241.43,244.786,256.948,290.8
193.64,189.116,184.655,178.306,169.442,161.788,154.876,153.731,157.384,161.534,156.569,161.616,165.607,167.566,168.951,170.218,168.252,170.166,179.164,201.544
313.645,296.023,278.546,262.505,251.637,247.263,249.948,264.835,287.765,313.082,330.843,352.908,362.991,362.149,355.365,350.986,351.023,365.403,403.321,481.968
168.158,162.533,157.605,151.163,144.098,138.443,133.913,136.094,142.444,147.89,143.721,148.726,151.022,150.503,149.275,149.83,149.048,151.579,155.557,165.606
262.532,254.887,245.964,234.729,223.189,212.092,202.282,202.881,211.988,225.143,230.493,241.907,245.674,244.756,244.042,245.844,248.468,261.162,289.231,343.416
192.416,185.954,180.387,174.744,169.165,164.178,160.482,166.696,178.894,194.172,202.382,221.437,236.953,246.938,253.011,257.591,259.34,267.095,286.488,329.204
507.815,496.829,480.778,461.215,442.939,436.055,447.033,488.509,551.424,616.547,663.203,699.492,713.872,711.516,708.889,725.131,763.293,818.439,879.682,966.101
144.943,142.165,139.877,136.275,131.661,128.492,125.617,129.049,135.94,142.987,140.411,146.774,150.426,151.988,153.353,154.383,151.794,149.462,148.046,149.754
366.921,353.594,340.142,325.45,311.812,302.799,300.009,311.06,332.987,358.787,374.005,390.428,395.54,396.038,399.547,410.066,421.904,438.96,467.489,526.008
186.643,176.551,167.587,158.589,148.7,141.179,134.908,137.182,144.307,152.96,151.634,157.747,159.633,160.046,162.076,166.399,169.421,175.868,188.205,214.97
244.478,233.242,224.582,219.651,220.155,223.554,224.928,231.901,242.617,255.026,260.144,272.318,279.386,282.556,284.533,284.552,278.549,273.43,274.75,295.926
173.777,168.954,163.902,156.544,150.257,144.924,138.813,139.143,144.155,151.639,152.263,161.275,167.001,171.423,178.288,188.61,198.378,212.071,230.17,260.928
562.476,528.912,493.427,463.511,445.563,442.583,457.555,499.477,558.446,614.758,646.167,661.71,651.194,628.757,611.798,605.91,603.866,619.415,676.874,820.731
143.394,139.485,137.589,134.603,131.584,129.046,125.866,128.257,134.976,144.415,149.109,162.076,170.135,172.931,173.187,171.677,166.513,164.677,169.099,189.65
329.097,314.299,299.501,284.001,269.897,259.643,253.811,259.34,270.757,282.696,283.458,290.325,291.094,287.597,285.864,288.866,293.057,304.617,323.593,355.066
343.993,340.041,341.89,349.13,360.829,376.835,400.08,440.462,494.432,551.291,591.74,624.272,641.768,651.252,665.526,689.529,721.337,770.855,848.595,983.919
296.432,285.949,274.597,261.186,247.091,236.218,227.103,230.359,242.384,261.279,275.944,296.863,307.937,309.682,306.299,299.639,287.174,274.938,265.622,270.681
311.151,296.592,280.507,264.953,251.702,243.035,239.929,252.494,278.001,307.184,322.989,340.723,347.722,350.079,353.417,359.691,367.112,381.376,406.354,456.115
615.244,594.007,570.215,548.974,539.071,547.978,576.694,631.497,699.749,762.575,800.925,832.229,841.676,831.304,815.7,810.664,818.287,847.694,915.98,1051.91
321.394,308.053,293.166,276.028,260.461,250.265,245.9,255.627,273.865,295.867,308.375,323.472,327.596,323.594,319.365,319.712,324.137,339.263,370.863,426.306
188.515,187.095,183.97,179.794,175.391,171.167,167.69,173.639,187.767,204.026,212.009,226.195,232.4,233.865,234.204,233.71,228.447,226.648,234.296,262.636
190.065,184.451,177.737,168.254,159.46,152.265,145.813,146.798,153.15,161.349,161.986,172.404,177.585,177.768,177.054,180.055,184.282,193.975,207.159,229.517
174.985,173.24,169.549,163.441,156.369,150.788,146.107,149.265,157.386,165.458,165.287,174.724,179.429,180.37,181.596,186.588,192.643,206.767,232.639,274.965
